form_score_spelling,form_score_punctuation,form_score_capitalization,form_score_complexity,neut_score_superlatives,neut_score_emotional,neut_score_banned,neut_score_slurs,tran_score_citations,tran_score_external_references,tran_score_broken_links,tran_score_author,lay_score_photos,lay_score_video,lay_score_font_size,lay_score_font_type,score_formality,score_neutrality,score_transparency,score_layout,credibility_score,credibility_score_weighted,url
0.592161016949152,0.833333333333333,1,0.466903914590747,0.98220640569395,0.697508896797153,1,1,0.3,0,0,0,0,0,1,0,2.89239826487323,3.6797153024911,0.3,1,4.92007097960271,0.545411494897946,https://www.iol.co.za/mercury/news/kzn-municipality-suspends-workers-for-not-wearing-masks-e21b818f-9a70-4b9e-b73a-6d147c5c3a37
0.664135514018691,1,1,0.365178571428571,0.988839285714285,0.754464285714285,1,1,0.111111111111111,0,0,0,0,0,1,0,3.02931408544726,3.74330357142857,0.111111111111111,1,4.92733047999184,0.549245048147933,https://www.iol.co.za/the-star/news/eugene-mthethwa-blames-drunk-driving-for-mjokes-death-029851e0-4627-42dd-af82-87befa5f25c0
0.946808510638298,1,0.992592592592592,0.311111111111111,0.992592592592592,0.607407407407407,0.985185185185185,1,0.172413793103448,0,0,0,0.5,0,0,0.5,3.250512214342,3.58518518518518,0.172413793103448,1,5.00506949539415,0.569545900808461,https://www.aljazeera.com/economy/2021/5/24/china-crackdown-forces-crypto-mining-operators-to-end-operations
0.983221476510067,1,1,0.37357910906298,1,0.416282642089094,1,1,0.413793103448276,0,0,0,0.5,0,0.5,0,3.35680058557305,3.41628264208909,0.413793103448276,1,5.11679770694401,0.586840511794948,https://www.aljazeera.com/news/2021/5/24/coup-claim-as-samoas-elected-leader-locked-out-of-parliament
0.211538461538461,1,1,0.046153846153846,0.975961538461539,0.519230769230769,1,1,0.2,0,0,1,0.25,0,0.5,0.5,2.25769230769231,3.49519230769231,1.2,1.25,5.12680288461539,0.552257525083612,https://economist.com.na/61500/extra/students-dream-of-becoming-a-paramedic-being-supported-by-trustco/
0.974489795918367,1,1,0.494589178356714,0.979959919839679,0.609218436873748,1,1,0.3,0,0,0,0,0,1,0,3.46907897427508,3.58917835671343,0.3,1,5.22391083186782,0.596134949579727,https://www.iol.co.za/pretoria-news/news/gauteng-admits-its-r624m-municipal-debt-affects-revenue-generation-db10e7aa-7762-408a-9e93-06b4bf87a1f6
0.964114832535885,1,1,0.321140142517815,1,0.703087885985748,1,1,0,0,0,1,0,0,0,0.5,3.2852549750537,3.70308788598575,1,0.5,5.30521428814966,0.632514168025944,https://medium.com/@CarlyFiorina/what-carly-is-doing-tonight-d53e747382ec#.6qz44w5un
0.746621621621622,1,1,0.2,0.974226804123711,0.664948453608247,1,1,0,0,0,1,0,0,0.5,0.5,2.94662162162162,3.63917525773196,1,1,5.36612304959599,0.603112772117703,https://www.pbs.org/newshour/economy/average-us-price-of-gas-jumps-8-cents-per-gallon-to-3-10
0.922945205479452,1,1,0.557607282184655,0.993498049414825,0.466840052015605,1,1,0.288888888888889,0,0,1,0.5,0,0,0,3.48055248766411,3.46033810143043,1.28888888888889,0.5,5.45611217373964,0.674659401658761,https://www.tampabay.com/news/florida-politics/2021/05/20/ashley-moody-appeals-after-judge-ruling-on-biden-immigration-policies/
0.977544910179641,1,1,0.322754491017964,0.99251497005988,0.498502994011976,1,1,0,0,0,1,0.5,0,0,0.5,3.3002994011976,3.49101796407186,1,1,5.49457335329341,0.637190835719865,https://medium.com/@GovGaryJohnson/theres-another-choice-5d1f14b742d5#.gsyzpehxp
