form_score_spelling,form_score_punctuation,form_score_capitalization,form_score_complexity,neut_score_superlatives,neut_score_emotional,neut_score_banned,neut_score_slurs,tran_score_citations,tran_score_external_references,tran_score_broken_links,tran_score_author,lay_score_photos,lay_score_video,lay_score_font_size,lay_score_font_type,score_formality,score_neutrality,score_transparency,score_layout,credibility_score,credibility_score_weighted,url
1,0.5,1,0.141176470588235,0.877450980392157,0.534313725490196,1,1,0.1,0,0,0,0,0,0.5,0.5,2.64117647058824,3.41176470588235,0.1,1,4.47058823529412,0.454219948849105,https://en.mediamass.net/world/ro/best-country.html
0,0.074074074074074,0.967105263157895,0.305263157894737,1,0.725877192982456,0.934210526315789,1,0.185185185185185,0,0,0,1,0,0.5,0.5,1.34644249512671,3.66008771929825,0.185185185185185,2,4.49482212475634,0.407019662683278,https://dcgazette.com/2020/big-bang-theory-actress-asked-feminist-response-made-feminists-furious/
0,0.310344827586206,1,0.298121085594989,0.979123173277662,0.665970772442588,1,1,0.482758620689655,0,0,0,0,0,0.5,1,1.6084659131812,3.64509394572025,0.482758620689655,1.5,4.52269904974444,0.427439255320148,https://enduringvision.com/news/us_071110.php
0.642857142857143,0,1,0.165986394557823,0.965986394557823,0.421768707482993,0.965986394557823,1,0.166666666666667,0,1,0,0,0,0.5,0.5,1.80884353741497,3.35374149659864,1.16666666666667,1,4.58078231292517,0.406891452233067,https://en.mediamass.net/people/laurel-holloman/birthday.html
0,0.6875,1,0.3699604743083,0.990118577075099,0.594861660079051,0.980237154150198,1,0.28125,0,0,0,0,0,0.5,1,2.0574604743083,3.56521739130435,0.28125,1.5,4.6274549160079,0.462394741364496,https://enduringvision.com/news/politics_062810.php
0.799206349206349,1,1,0.295343680709534,0.988913525498891,0.334811529933481,1,1,0.047619047619048,0,0,0,0,0,1,0,3.09455002991588,3.32372505543237,0.047619047619048,1,4.66618383310456,0.509875302028006,https://adfmedia.org/press-release/hhs-ensures-faith-based-adoption-foster-care-providers-are-free-serve-kids-need
0.98792270531401,1,1,0.359817351598174,1,0.098173515981735,1,1,0.043478260869565,0,0,0,0,0,1,0,3.34774005691218,3.09817351598173,0.043478260869565,1,4.68086989610218,0.514721783440224,https://adfmedia.org/press-release/members-congress-seek-force-vote-bill-protecting-children-who-survive-abortion
0,1,0.673913043478261,0,1,0.456521739130434,0.891304347826087,1,0.5,0,0,0,1,0,0.5,0.5,1.67391304347826,3.34782608695652,0.5,2,4.70108695652174,0.477315689981096,https://dcgazette.com/2020/all-of-a-sudden-economic-conditions-in-this-pandemic-matter/
0.927685950413223,0,1,0.420588235294118,1,0.613970588235294,1,1,0.066666666666667,0,0,1,0,0,0,0.5,2.34827418570734,3.61397058823529,1.06666666666667,0.5,4.70556965038081,0.509930918109249,https://dailyoccupation.com/6-signs-that-prove-you-are-an-earth-angel-no-3-is-a-clear-indication/
0,0,1,0.32962962962963,0.988425925925926,0.675925925925926,1,1,0.153846153846154,0,0,1,1,0,0.5,0,1.32962962962963,3.66435185185185,1.15384615384615,1.5,4.77989227207977,0.472838473925431,https://weeklyworldnews.com/headlines/181292/hollywood-to-stream-movies-straight-into-your-brain/
0,1,0.977924944812362,0.219867549668874,0.988962472406181,0.536423841059602,0.966887417218543,1,0.5625,0,0,0,0,0,0.5,1,2.19779249448124,3.49227373068433,0.5625,1.5,4.84535389072848,0.501312505998656,https://enduringvision.com/news/us_071310.php
1,1,1,0,1,0.818181818181818,1,1,0,0,0,0,0,0,1,0,3,3.81818181818182,0,1,4.88636363636364,0.527667984189723,https://nationalvanguard.org/2021/05/us-islamic-group-attacks-national-socialists/
1,1,1,0,1,0.818181818181818,1,1,0,0,0,0,0,0,1,0,3,3.81818181818182,0,1,4.88636363636364,0.527667984189723,https://nationalvanguard.org/2021/05/land-of-the-fee-home-of-the-depraved/
1,1,1,0,1,0.818181818181818,1,1,0,0,0,0,0,0,1,0,3,3.81818181818182,0,1,4.88636363636364,0.527667984189723,https://nationalvanguard.org/2021/05/uk-repeated-rape-of-white-girl-lasted-seven-years/
0.913793103448276,0.659090909090909,1,0.275987841945289,1,0.498480243161094,0.962006079027356,0,0.090909090909091,0,1,1,0.5,0,0,0,2.84887185448447,2.46048632218845,2.09090909090909,0.5,4.93766704223876,0.577113356833603,https://barenakedislam.com/2021/05/23/spanish-red-cross-female-volunteers-wonder-why-they-keep-getting-raped-by-the-illegal-muslim-invaders/
0,0,1,0.417948717948718,1,0.679487179487179,0.989316239316239,1,0.325,0,0,1,1,0,0.5,0,1.41794871794872,3.66880341880342,1.325,1.5,4.94484508547009,0.500092902266815,https://weeklyworldnews.com/headlines/181834/an-entire-city-in-trevor-noahs-hair/
1,1,1,0.321387283236994,1,0.465317919075144,1,1,0.176470588235294,0,0,0,0,0,1,0,3.32138728323699,3.46531791907514,0.176470588235294,1,4.97698486909215,0.554249515840516,https://adfmedia.org/press-release/virginia-photographer-appeals-decision-allows-state-censor-control-his-artistic-work
0.793495610534716,0,0.99475890985325,0.589937106918239,0.979035639412998,0.449685534591195,0.979035639412998,0,0.402985074626866,0.423076923076923,0.884615384615385,1,0,0,0.5,0,2.37819162730621,2.40775681341719,2.71067738231917,0.5,4.99789113940161,0.545726169393253,https://davidduke.com/wednesday210505/
0,0,1,0.311111111111111,1,0.533730158730159,0.990079365079365,1,0.173913043478261,0,0,1,0.5,0,0.5,1,1.31111111111111,3.52380952380952,1.17391304347826,2,5.00552104899931,0.460378221862154,https://threepercenternation.com/2021/05/23/heres-the-35-republicans-who-turned-their-backs-on-trump/
0.933061699650756,0.846625766871165,0.996244836650394,0.677281261734885,0.981224183251972,0.500563274502441,0.979346601577169,0,0.141104294478528,0,0,1,0,0,0.5,0.5,3.4532135649072,2.46113405933158,1.14110429447853,1,5.03465744919832,0.615618235991874,https://barnesreview.org/holocaust-story-invented/
0.359008528784648,0.935897435897436,1,0.628780131482834,0.992695398100804,0.590942293644996,1,1,0.064102564102564,0,1,0,0,0,0.5,0,2.92368609616492,3.5836376917458,1.06410256410256,0.5,5.0446414700083,0.563370881365515,http://dont-tread-on.me/?page_id=75
0.882075471698113,0,1,0.136416184971098,1,0.624277456647399,1,1,0.5,0,1,0,0,0,0.5,0.5,2.01849165666921,3.6242774566474,1.5,1,5.08923069582288,0.474867583113231,https://en.mediamass.net/people/millie-bobby-brown/engaged.html
0,0,0.846368715083799,0.322905027932961,1,0.594972067039106,0.972067039106145,1,0,0,0,1,1,0,1,0.5,1.16927374301676,3.56703910614525,1,2.5,5.14769553072626,0.466395433568132,http://tdtalliance.com/alex-jones-claims-pepe-the-frog-is-a-symbol-of-homosexuality/
0.734984984984985,0,1,0.314114114114114,0.992492492492492,0.677177177177177,1,1,0.026315789473684,0,0,1,0.5,0,1,0,2.0490990990991,3.66966966966967,1.02631578947368,1.5,5.15317784890153,0.513229705678218,https://thereporterz.com/billboards-nah-just-buy-a-media-company-instead-techcrunch/
0.965469613259669,0,0.994669509594883,0.543283582089552,1,0.600213219616205,1,1,0.185185185185185,0,1,1,0,0,0,0,2.5034227049441,3.6002132196162,2.18518518518519,0,5.18051319359093,0.570706795303724,https://dailysurge.com/2021/05/vital-signs-of-american-christianity-critical-but-not-terminal/
0.783882783882784,1,1,0.302439024390244,0.975609756097561,0.365853658536585,0.983739837398374,0,0.307692307692308,0.166666666666667,0.916666666666667,1,0,0,0.5,0,3.08632180827303,2.32520325203252,2.39102564102564,0.5,5.18909418833199,0.612629011144387,https://davidduke.com/the-good-people-at-google-mistakenly-terminate-dr-slatterys-youtube-channel-tulsi-voxadpocalypse/
0.857073643410852,0,0.973544973544973,0.381657848324515,0.955908289241623,0.638447971781305,1,1,0.038461538461539,0,0,1,0.5,0,0.5,0.5,2.21227646528034,3.59435626102293,1.03846153846154,1.5,5.21568391547801,0.526013104535181,http://now8news.com/bill-gates-becomes-americas-largest-farmland-owner-with-shock-purchase-of-242000-acres-will-it-be-for-food-production-or-fema-camps-for-anti-vaxxers/
0,1,1,0.191150442477876,1,0.528023598820059,0.970501474926254,1,0.166666666666667,0,0,1,1,0,0,0.5,2.19115044247788,3.49852507374631,1.16666666666667,1.5,5.22271386430679,0.573188405797101,https://www.krbcnews.com/a-new-strain-of-super-gonorrhoea-is-ripping-through-houstons-youth/
0.987745098039216,1,1,0.313350125944584,0.974811083123425,0.357682619647355,1,0,0.285714285714286,0,0,1,0,0,1,0.5,3.3010952239838,2.33249370277078,1.28571428571429,1.5,5.26206450779304,0.604432893516623,https://immediatesafety.org/kim-jong-un-releases-netflix-and-chill-safety-video/
